elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1000,810,287,287,14
2000,1579,290,290,14
3000,2348,297,297,16
4000,3155,299,299,17
5000,3952,299,299,17
6000,4756,303,303,17
7000,5568,303,303,17
8001,6324,303,303,17
9001,7099,303,303,17
10003,7860,303,303,17
11003,8625,303,303,17
12003,9395,303,303,17
13003,10161,303,303,17
14004,10962,303,303,17
15004,11732,303,303,17
16004,12549,303,303,17
17004,13327,303,303,17
18004,14105,303,303,17
19167,14706,303,303,17
20167,15401,303,303,17
21167,16053,303,303,17
22167,16777,304,304,17
23167,17572,304,304,17
24167,18351,304,304,17
25167,19094,304,304,17
26167,19839,304,304,17
27168,20613,304,304,17
28168,21396,306,306,18
29168,22135,306,306,18
30168,22911,306,306,18
31168,23683,306,306,18
32168,24451,306,306,18
33168,25227,306,306,18
34169,25984,306,306,18
35169,26741,306,306,18
36170,27504,306,306,18
37170,28273,306,306,18
38170,29031,306,306,18
39171,29790,306,306,18
40172,30563,306,306,18
41172,31312,306,306,18
42172,32072,306,306,18
43172,32819,306,306,18
44172,33576,306,306,18
45173,34336,306,306,18
46173,35090,306,306,18
47174,35855,306,306,18
48174,36624,306,306,18
49174,37396,306,306,18
50175,38167,306,306,18
51179,38928,306,306,18
52179,39696,306,306,18
53179,40464,306,306,18
54179,40989,306,306,18
55179,41722,306,306,18
56179,42499,306,306,18
57179,43274,306,306,18
58179,44047,306,306,18
59179,44820,306,306,18
60183,45609,306,306,18
61184,46304,306,306,18
62184,47050,306,306,18
63184,47806,306,306,18
64184,48567,306,306,18
65185,49363,306,306,18
66185,50143,306,306,18
67185,50910,306,306,18
68186,51681,306,306,18
69186,52465,306,306,18
70188,53226,306,306,18
71188,53412,306,306,18
72188,54171,306,306,18
73188,54977,306,306,18
74189,55713,306,306,18
75190,56491,306,306,18
76190,56720,306,306,18
77190,57524,306,306,18
78190,58315,306,306,18
79190,59106,306,306,18
80190,59889,306,306,18
81190,60094,306,306,18
82190,60915,306,306,18
83190,61705,306,306,18
84191,62504,306,306,18
85191,63279,306,306,18
86191,63507,306,306,18
87191,64262,306,306,18
88192,65031,306,306,18
89193,65787,306,306,18
90193,66592,306,306,18
91193,66779,306,306,18
92193,67576,306,306,18
93194,68358,306,306,18
94194,69156,306,306,18
95194,69839,306,306,18
96194,70082,306,306,18
97195,70840,306,306,18
98195,71667,306,306,18
99195,72474,306,306,18
100195,73275,306,306,18
101196,73495,306,306,18
102197,74207,306,306,18
103198,74965,306,306,18
104198,75786,306,306,18
105198,76561,306,306,18
106199,76762,306,306,18
107199,77598,306,306,18
108199,78371,306,306,18
109201,79142,306,306,18
110201,79897,306,306,18
111202,80113,306,306,18
112202,80932,306,306,18
113202,81771,306,306,18
114203,82541,306,306,18
115204,83322,306,306,18
116204,83550,306,306,18
117205,84301,306,306,18
118205,85069,306,306,18
119205,85888,306,306,18
120205,86637,306,306,18
121205,86833,306,306,18
122205,87659,306,306,18
123207,88467,306,306,18
124208,89219,306,306,18
125208,89950,306,306,18
126208,90152,306,306,18
127208,90919,306,306,18
128208,91762,306,306,18
129209,92553,306,306,18
130209,93346,306,306,18
131209,94156,306,306,18
132209,94942,306,306,18
133209,95776,306,306,18
134209,96570,306,306,18
135209,97345,306,306,18
136209,98160,306,306,18
137209,98965,306,306,18
138210,99788,306,306,18
139211,100560,306,306,18
140211,101322,306,306,18
141212,102044,306,306,18
142212,102847,306,306,18
143212,103644,306,306,18
144212,104421,306,306,18
145212,105168,306,306,18
146214,105902,306,306,18
206005,105985,306,306,18
266008,106182,306,306,18
326006,106379,306,306,18
326006,106379,306,306,18
