elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1001,326,1270,1270,11
2001,467,1466,1466,15
3004,696,1751,1751,19
4005,874,1947,1947,19
5006,1097,2105,2105,21
6006,1311,2240,2240,22
7007,1530,2419,2419,23
8009,1704,2565,2565,24
9010,1855,2766,2766,24
10011,2109,2824,2824,25
11013,2428,2846,2846,26
12015,2684,2923,2923,26
13018,2861,3012,3012,26
14019,3017,3079,3079,26
15021,3192,3107,3107,26
16029,3361,3118,3118,27
17034,3539,3224,3224,27
18036,3727,3260,3260,27
19041,3890,3400,3400,28
20043,4054,3499,3499,28
21046,4277,3550,3550,29
22047,4463,3630,3630,29
23048,4625,3702,3702,29
24053,4761,3747,3747,29
25053,4931,3769,3769,29
26053,5103,3789,3789,29
27054,5268,3824,3824,29
28055,5436,3842,3842,29
29060,5572,3867,3867,29
30067,5702,3925,3925,29
31068,5824,3933,3933,29
32070,5957,3979,3979,29
33076,6082,4021,4021,29
34084,6200,4049,4049,29
35091,6330,4067,4067,29
36095,6410,4081,4081,29
37099,6527,4117,4117,29
38105,6636,4135,4135,29
39106,6739,4170,4170,29
40106,6848,4208,4208,29
41106,6999,4226,4226,29
42109,7159,4338,4338,29
43111,7452,4372,4372,29
44115,7789,4385,4385,29
45119,7960,4406,4406,29
46119,8130,4456,4456,30
47125,8268,4480,4480,30
48126,8418,4534,4534,30
49130,8560,4560,4560,30
50133,8732,4608,4608,30
51136,8873,4637,4637,30
52136,9136,4654,4654,30
53142,9386,4667,4667,30
54148,9518,4680,4680,30
55152,9655,4719,4719,30
56155,9844,4750,4750,30
57159,10009,4803,4803,30
58165,10134,4838,4838,30
59168,10250,4879,4879,30
60172,10394,4889,4889,30
61175,10523,4903,4903,30
62181,10692,4910,4910,30
63184,10960,4939,4939,30
65300,11097,4942,4942,30
66304,11257,4942,4942,30
67304,11448,4948,4948,30
68309,11632,4954,4954,30
69313,11770,4954,4954,30
70317,11928,4954,4954,30
71318,12072,4958,4958,30
72320,12218,4959,4959,30
73321,12363,4959,4959,30
74322,12500,4962,4962,30
75325,12652,4962,4962,30
76327,12806,4965,4965,30
77328,13096,4967,4967,30
78329,13339,4969,4969,30
79335,13505,4993,4993,30
80336,13681,5024,5024,30
81345,13839,5043,5043,30
82349,13983,5047,5047,30
83350,14080,5054,5054,30
84554,14108,5054,5054,30
85566,14175,5055,5055,30
86568,14293,5057,5057,30
87570,14415,5057,5057,30
88577,14538,5068,5068,30
89582,14660,5074,5074,30
90847,14729,5079,5079,30
91847,14797,5080,5080,30
92872,14887,5082,5082,30
93880,14967,5083,5083,30
94887,15091,5087,5087,30
95889,15215,5103,5103,30
96897,15323,5104,5104,30
97900,15456,5111,5111,30
98902,15576,5111,5111,30
99910,15689,5117,5117,30
100917,15785,5117,5117,30
101918,15928,5118,5118,30
102923,16070,5124,5124,30
103933,16187,5124,5124,30
104933,16285,5126,5126,30
105937,16410,5127,5127,30
106939,16547,5135,5135,30
107943,16689,5136,5136,30
108946,16817,5141,5141,30
109947,16957,5143,5143,30
110950,17099,5143,5143,30
111952,17249,5143,5143,30
112958,17399,5145,5145,30
113964,17537,5145,5145,30
114969,17678,5147,5147,30
115972,17826,5147,5147,30
116980,17974,5147,5147,30
117981,18128,5148,5148,30
118982,18263,5149,5149,30
119987,18412,5156,5156,30
120991,18562,5157,5157,30
121991,18706,5157,5157,30
122992,18843,5157,5157,30
123995,18952,5157,5157,30
125001,19100,5157,5157,30
126006,19245,5158,5158,30
127010,19396,5163,5163,30
128016,19504,5166,5166,30
129020,19615,5171,5171,30
130020,19730,5172,5172,30
131025,19860,5173,5173,30
132028,19995,5179,5179,30
133031,20142,5191,5191,30
134034,20337,5196,5196,30
135043,20599,5208,5208,30
136044,20780,5216,5216,30
137048,20949,5225,5225,30
138051,21093,5226,5226,30
139054,21222,5232,5232,30
140055,21353,5233,5233,30
141057,21500,5235,5235,30
142058,21621,5237,5237,30
143060,21768,5241,5241,30
144063,21911,5242,5242,30
145063,22077,5248,5248,30
146066,22250,5253,5253,30
147066,22411,5258,5258,30
148069,22612,5268,5268,30
149069,22772,5273,5273,30
150075,22904,5282,5282,30
151075,23032,5283,5283,30
152078,23168,5284,5284,30
153078,23298,5284,5284,30
154080,23415,5285,5285,30
155088,23541,5286,5286,30
156088,23703,5288,5288,30
157088,23885,5291,5291,30
158088,24155,5291,5291,30
159089,24416,5291,5291,30
160092,24689,5291,5291,30
161093,24991,5299,5299,30
162099,25286,5300,5300,30
163099,25472,5307,5307,30
164100,25638,5312,5312,30
165102,25798,5319,5319,30
166103,25982,5322,5322,30
167105,26137,5327,5327,30
168109,26246,5330,5330,30
169114,26325,5330,5330,30
170117,26366,5331,5331,30
171152,26435,5331,5331,30
172157,26555,5337,5337,30
173167,26666,5337,5337,30
174176,26756,5338,5338,30
175177,26842,5339,5339,30
176177,26935,5339,5339,30
177192,27064,5340,5340,30
178196,27205,5344,5344,30
179204,27323,5350,5350,30
180204,27453,5350,5350,30
181206,27602,5353,5353,30
182213,27769,5353,5353,30
183214,27904,5353,5353,30
184217,28019,5355,5355,30
185223,28200,5356,5356,30
186225,28436,5356,5356,30
187232,28672,5356,5356,30
188234,28861,5356,5356,30
189238,28941,5356,5356,30
190243,29122,5362,5362,30
191245,29251,5363,5363,30
192249,29415,5365,5365,30
193252,29563,5367,5367,30
194252,29710,5367,5367,30
195252,29867,5372,5372,30
196257,30043,5372,5372,30
197261,30255,5372,5372,30
198261,30436,5373,5373,30
199262,30594,5373,5373,30
200266,30780,5373,5373,30
201266,30978,5373,5373,30
202270,31127,5374,5374,30
203273,31317,5374,5374,30
204278,31506,5374,5374,30
205278,31698,5374,5374,30
206283,31893,5374,5374,30
207287,32049,5374,5374,30
208290,32238,5374,5374,30
209295,32414,5374,5374,30
210299,32608,5374,5374,30
211303,32788,5374,5374,30
212309,32971,5374,5374,30
213310,33145,5374,5374,30
214310,33296,5374,5374,30
215315,33470,5374,5374,30
216319,33632,5374,5374,30
217319,33767,5374,5374,30
218322,33924,5374,5374,30
219323,34067,5374,5374,30
220324,34212,5374,5374,30
221329,34366,5374,5374,30
222409,34498,5374,5374,30
223413,34655,5374,5374,30
224416,34810,5374,5374,30
225417,34983,5374,5374,30
226419,35113,5374,5374,30
227420,35257,5374,5374,30
228427,35442,5374,5374,30
229429,35618,5375,5375,30
230432,35803,5375,5375,30
231454,35915,5375,5375,30
232459,36106,5375,5375,30
233461,36288,5375,5375,30
234462,36473,5375,5375,30
235462,36669,5375,5375,30
236462,36881,5375,5375,30
237465,37089,5376,5376,30
238465,37318,5376,5376,30
239465,37529,5377,5377,30
240466,37741,5377,5377,30
241466,37981,5377,5377,30
242469,38220,5377,5377,30
243470,38449,5378,5378,30
244473,38660,5378,5378,30
245475,38884,5378,5378,30
246476,39079,5378,5378,30
247478,39263,5378,5378,30
248479,39469,5378,5378,30
249480,39685,5379,5379,30
250484,39902,5379,5379,30
251489,40098,5379,5379,30
252490,40311,5379,5379,30
253493,40543,5379,5379,30
254496,40766,5379,5379,30
255498,41000,5379,5379,30
256501,41234,5380,5380,30
257515,41428,5380,5380,30
258516,41594,5380,5380,30
259518,41739,5380,5380,30
260518,41910,5380,5380,30
261518,42088,5380,5380,30
262521,42311,5380,5380,30
263522,42521,5380,5380,30
264529,42712,5380,5380,30
265530,42921,5380,5380,30
266532,43148,5380,5380,30
267535,43376,5380,5380,30
268535,43594,5380,5380,30
269537,43777,5380,5380,30
270560,43899,5380,5380,30
271564,44065,5380,5380,30
272564,44248,5380,5380,30
273566,44469,5380,5380,30
274572,44622,5380,5380,30
275573,44830,5380,5380,30
276574,45036,5380,5380,30
277579,45228,5380,5380,30
278587,45399,5380,5380,30
279587,45557,5380,5380,30
280588,45743,5380,5380,30
281589,45955,5380,5380,30
282592,46167,5380,5380,30
283596,46385,5380,5380,30
284596,46595,5380,5380,30
285598,46803,5380,5380,30
286599,47044,5380,5380,30
287605,47271,5380,5380,30
288610,47523,5380,5380,30
289612,47739,5380,5380,30
290614,47975,5380,5380,30
291614,48220,5381,5381,30
292617,48458,5381,5381,30
293618,48691,5381,5381,30
294619,48931,5381,5381,30
295620,49154,5381,5381,30
296623,49356,5381,5381,30
297626,49574,5381,5381,30
298627,49801,5381,5381,30
299630,50014,5381,5381,30
300003,50097,5381,5381,30
