elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1126,262,793,793,14
2127,771,1019,1019,17
3129,1311,1122,1122,20
4131,1854,1229,1229,22
5132,2407,1272,1272,22
6132,2951,1312,1312,23
7132,3494,1371,1371,26
8132,4055,1414,1414,26
9132,4607,1472,1472,27
10132,5142,1526,1526,28
11133,5689,1580,1580,29
12134,6233,1602,1602,29
13134,6786,1607,1607,29
14134,7329,1634,1634,30
15135,7862,1649,1649,30
16137,8409,1678,1678,30
17137,8960,1686,1686,30
18137,9528,1687,1687,30
19139,10063,1695,1695,30
20140,10602,1699,1699,30
21140,11181,1705,1705,30
22141,11737,1711,1711,30
23142,12295,1722,1722,30
24142,12857,1723,1723,30
25142,13353,1727,1727,30
26142,13899,1736,1736,30
27143,14458,1757,1757,30
28144,15028,1777,1777,30
29144,15565,1777,1777,30
30144,16102,1778,1778,30
31145,16651,1780,1780,30
32146,17189,1780,1780,30
33147,17731,1789,1789,30
34148,18270,1790,1790,30
35148,18798,1790,1790,30
36148,19337,1791,1791,30
37149,19871,1815,1815,30
38149,20438,1844,1844,30
39149,20996,1848,1848,30
40149,21518,1863,1863,30
41150,22076,1879,1879,30
42150,22634,1879,1879,30
43150,23188,1894,1894,30
44151,23733,1905,1905,30
45152,24259,1949,1949,30
46153,24804,1966,1966,30
47153,25363,1970,1970,30
48154,25914,1970,1970,30
49154,26475,1981,1981,30
50155,26996,1981,1981,30
51156,27537,1987,1987,30
52156,28072,1988,1988,30
53156,28626,1988,1988,30
54157,29183,2005,2005,30
55157,29725,2008,2008,30
56157,30279,2014,2014,30
57157,30841,2028,2028,30
58158,31395,2036,2036,30
59159,31958,2037,2037,30
60159,32495,2039,2039,30
61160,33048,2048,2048,30
62161,33594,2048,2048,30
63162,34143,2048,2048,30
64162,34718,2049,2049,30
65162,35261,2061,2061,30
66162,35798,2061,2061,30
67162,36353,2071,2071,30
68162,36912,2071,2071,30
69162,37473,2080,2080,30
70162,38010,2081,2081,30
71162,38568,2083,2083,30
72163,39112,2095,2095,30
73163,39661,2110,2110,30
74163,40213,2115,2115,30
75164,40754,2115,2115,30
76164,41287,2118,2118,30
77164,41846,2134,2134,30
78164,42374,2134,2134,30
79164,42923,2140,2140,30
80164,43454,2140,2140,30
81164,44003,2140,2140,30
82165,44546,2145,2145,30
83165,45099,2152,2152,30
84166,45631,2163,2163,30
85167,46159,2164,2164,30
86474,46483,2165,2165,30
87474,46743,2166,2166,30
88474,47183,2169,2169,30
89479,47734,2170,2170,30
90479,48280,2188,2188,30
91480,48833,2212,2212,30
92480,49375,2212,2212,30
93480,49907,2213,2213,30
94480,50445,2218,2218,30
95481,50974,2218,2218,30
96482,51469,2232,2232,30
97482,51949,2233,2233,30
98482,52439,2239,2239,30
99483,52920,2239,2239,30
100483,53392,2239,2239,30
101483,53879,2240,2240,30
102484,54377,2246,2246,30
103484,54887,2252,2252,30
104484,55392,2252,2252,30
105485,55870,2254,2254,30
106485,56362,2254,2254,30
107485,56853,2257,2257,30
