elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1646,25,329,32,260,2,4
4361,26,386,39,294,2,3
7103,28,386,39,294,2,1
8895,30,386,39,294,2,0
10385,32,386,39,294,2,0
17394,39,398,41,301,2,0
22283,41,413,43,309,3,0
23446,49,421,43,316,3,0
30650,52,438,47,328,3,0
31810,76,445,47,328,5,0
53810,84,458,52,333,5,0
73484,114,472,54,343,5,0
83607,116,488,57,354,5,0
115093,139,496,62,354,5,0
139370,146,509,67,360,5,0
150043,168,517,67,367,5,0
163925,169,545,70,387,6,0
185145,178,560,73,397,6,0
197224,184,571,75,404,6,0
215327,186,576,78,404,6,0
216539,212,578,78,404,7,0
237710,217,592,79,415,7,0
272392,231,608,83,425,7,0
333568,273,623,88,430,8,0
333568,273,623,88,430,8,0
