mode,executed_traces_mean,executed_traces_std,visited_branches_mean,visited_branches_std,reached_branches_mean,reached_branches_std,unique_errors_mean,unique_errors_std,runtime_seconds_mean,runtime_seconds_std
random,159767.20,14085.68,2763.80,18.66,2763.80,18.66,30.00,0.00,300.00,0.00
hillclimb,75936.20,25682.93,5395.20,15.61,5395.20,15.61,30.00,0.00,300.00,0.00
