elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1000,547,979,979,17
2001,859,1435,1435,20
3003,1147,1651,1651,22
4005,1447,1805,1805,24
5006,1850,1956,1956,24
6008,2180,2073,2073,24
7009,2600,2233,2233,27
8010,2944,2325,2325,27
9012,3315,2399,2399,28
10013,3689,2438,2438,28
11013,4076,2463,2463,29
12015,4448,2483,2483,30
13016,4811,2537,2537,30
14018,5168,2611,2611,30
15019,5558,2646,2646,30
16020,5942,2669,2669,30
17021,6333,2788,2788,30
18021,6696,2895,2895,30
19023,7049,2993,2993,30
20024,7330,3092,3092,30
21024,7598,3215,3215,30
22025,7823,3306,3306,30
23025,8026,3368,3368,30
24027,8223,3422,3422,30
25028,8439,3465,3465,30
26030,8659,3547,3547,30
27031,8878,3585,3585,30
28033,9088,3611,3611,30
29034,9302,3635,3635,30
30038,9527,3675,3675,30
31040,9767,3701,3701,30
32041,10032,3714,3714,30
33041,10252,3774,3774,30
34043,10508,3832,3832,30
35043,10748,3860,3860,30
36045,11001,3869,3869,30
37046,11246,3908,3908,30
38051,11488,3924,3924,30
39054,11721,3950,3950,30
40055,11937,4022,4022,30
41055,12157,4028,4028,30
42057,12424,4047,4047,30
43058,12709,4105,4105,30
44058,12989,4132,4132,30
45060,13227,4135,4135,30
46063,13536,4157,4157,30
47064,13888,4178,4178,30
48065,14211,4206,4206,30
49069,14498,4229,4229,30
50071,14773,4250,4250,30
51074,15014,4275,4275,30
52074,15264,4278,4278,30
53076,15531,4304,4304,30
54076,15771,4347,4347,30
55076,16041,4377,4377,30
56082,16275,4444,4444,30
57083,16471,4531,4531,30
58086,16675,4554,4554,30
59086,16865,4573,4573,30
60087,17058,4582,4582,30
61088,17242,4606,4606,30
62090,17445,4612,4612,30
63091,17667,4621,4621,30
64091,17915,4637,4637,30
65092,18171,4644,4644,30
66093,18444,4646,4646,30
67093,18675,4677,4677,30
68097,18817,4699,4699,30
69099,19115,4717,4717,30
70103,19396,4729,4729,30
71106,19630,4744,4744,30
72112,19853,4749,4749,30
73119,20087,4758,4758,30
74122,20340,4846,4846,30
75124,20586,4898,4898,30
76127,20852,4927,4927,30
77127,21113,4930,4930,30
78128,21367,4959,4959,30
79131,21595,4964,4964,30
80132,21828,4967,4967,30
81135,22063,4969,4969,30
82137,22342,4996,4996,30
83137,22631,4998,4998,30
84138,22905,5005,5005,30
85139,23208,5005,5005,30
86141,23502,5006,5006,30
87142,23732,5026,5026,30
88143,24057,5029,5029,30
89144,24310,5036,5036,30
90146,24527,5040,5040,30
91147,24825,5053,5053,30
92149,25151,5061,5061,30
93150,25434,5069,5069,30
94152,25672,5073,5073,30
95155,25942,5075,5075,30
96157,26148,5093,5093,30
97161,26347,5102,5102,30
98163,26563,5113,5113,30
99169,26782,5117,5117,30
100170,27003,5119,5119,30
101177,27208,5119,5119,30
102181,27437,5124,5124,30
103183,27726,5127,5127,30
104186,27978,5131,5131,30
105190,28182,5132,5132,30
106192,28370,5132,5132,30
107199,28546,5147,5147,30
108200,28732,5149,5149,30
109201,28945,5152,5152,30
110202,29189,5169,5169,30
111205,29440,5190,5190,30
112205,29687,5210,5210,30
113206,29951,5215,5215,30
114210,30229,5217,5217,30
115212,30507,5217,5217,30
116213,30793,5217,5217,30
117213,31041,5219,5219,30
118219,31270,5221,5221,30
119219,31468,5223,5223,30
