run_index,mode,seed,executed_traces,visited_branches,reached_branches,unique_errors,runtime_seconds
1,random,42,181501,2768,2768,30,300
2,random,123,161613,2764,2764,30,300
3,random,456,158515,2738,2738,30,300
4,random,789,142814,2759,2759,30,300
5,random,1337,154393,2790,2790,30,300
1,hillclimb,42,50097,5381,5381,30,300
2,hillclimb,123,58971,5415,5415,30,300
3,hillclimb,456,110210,5378,5378,30,300
4,hillclimb,789,64841,5398,5398,30,300
5,hillclimb,1337,95562,5404,5404,30,300
