elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1006,49,198,8,163,0,0
2486,55,198,8,163,0,0
3492,105,204,8,167,0,0
5757,128,209,8,170,0,0
7299,196,209,8,170,0,0
8724,266,209,8,170,0,0
10134,333,209,8,170,0,0
12062,423,209,8,170,0,0
14065,520,209,8,170,0,0
15068,605,209,8,170,0,0
16515,649,209,8,170,0,0
18730,762,209,8,170,0,0
20349,966,209,8,170,0,0
21357,1088,209,8,170,0,0
22745,1130,209,8,170,0,0
23757,1179,209,8,170,0,0
24830,1233,209,8,170,0,0
25959,1236,209,8,170,0,0
27007,1245,209,8,170,0,0
28067,1248,209,8,170,0,0
29198,1250,209,8,170,0,0
30228,1253,209,8,170,0,0
31501,1256,209,8,170,0,0
32713,1258,209,8,170,0,0
34720,1260,209,8,170,0,0
35801,1261,209,8,170,0,0
37100,1262,209,8,170,0,0
38219,1263,209,8,170,0,0
39633,1271,209,8,170,0,0
41331,1274,209,8,170,0,0
42776,1276,209,8,170,0,0
44637,1279,209,8,170,0,0
188742,1283,209,8,170,0,0
189750,1342,209,8,170,0,0
190871,1388,209,8,170,0,0
191886,1393,209,8,170,0,0
192926,1396,209,8,170,0,0
194205,1399,209,8,170,0,0
195338,1402,209,8,170,0,0
196398,1404,209,8,170,0,0
197562,1406,209,8,170,0,0
198725,1408,209,8,170,0,0
199875,1410,209,8,170,0,0
201288,1412,209,8,170,0,0
202592,1414,209,8,170,0,0
204015,1416,209,8,170,0,0
205097,1418,209,8,170,0,0
206248,1419,209,8,170,0,0
207698,1420,209,8,170,0,0
209292,1421,209,8,170,0,0
212121,1424,209,8,170,0,0
214197,1425,209,8,170,0,0
215237,1430,209,8,170,0,0
216435,1431,209,8,170,0,0
217720,1432,209,8,170,0,0
218882,1433,209,8,170,0,0
220061,1434,209,8,170,0,0
221386,1437,209,8,170,0,0
222676,1439,209,8,170,0,0
223976,1441,209,8,170,0,0
225405,1444,209,8,170,0,0
227277,1446,209,8,170,0,0
228706,1447,209,8,170,0,0
230383,1448,209,8,170,0,0
231882,1449,209,8,170,0,0
577202,1450,209,8,170,0,0
577202,1450,209,8,170,0,0
