elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1012,69,148,0,137,0,0
2042,119,148,0,137,0,0
3621,130,148,0,137,0,0
4968,134,148,0,137,0,0
6452,138,148,0,137,0,0
7562,140,148,0,137,0,0
8861,142,148,0,137,0,0
10361,146,148,0,137,0,0
11856,151,160,0,143,0,0
13079,152,160,0,143,0,0
14422,153,160,0,143,0,0
15611,154,160,0,143,0,0
17123,155,160,0,143,0,0
18534,156,160,0,143,0,0
20195,157,160,0,143,0,0
22085,158,160,0,143,0,0
24071,159,160,0,143,0,0
25935,160,160,0,143,0,0
27837,161,160,0,143,0,0
29946,162,160,0,143,0,0
30987,164,160,0,143,0,0
32988,165,160,0,143,0,0
34799,166,160,0,143,0,0
37339,170,160,0,143,0,0
38502,175,160,0,143,0,0
39868,177,160,0,143,0,0
41247,179,160,0,143,0,0
42920,180,160,0,143,0,0
44776,181,160,0,143,0,0
46563,182,160,0,143,0,0
48688,183,160,0,143,0,0
50901,184,160,0,143,0,0
52965,185,160,0,143,0,0
55054,186,160,0,143,0,0
415925,187,160,0,143,0,0
415925,187,160,0,143,0,0
