elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1004,63,142,0,133,0,0
2358,115,154,0,140,0,0
3409,119,154,0,140,0,0
4419,122,154,0,140,0,0
5866,125,154,0,140,0,0
6997,128,154,0,140,0,0
8273,133,154,0,140,0,0
9533,135,154,0,140,0,0
11367,141,154,0,140,0,0
12712,145,154,0,140,0,0
13843,146,154,0,140,0,0
15766,148,154,0,140,0,0
16960,149,160,0,143,0,0
18935,151,160,0,143,0,0
20742,153,160,0,143,0,0
22604,155,160,0,143,0,0
24635,157,160,0,143,0,0
26515,159,160,0,143,0,0
27817,160,160,0,143,0,0
29224,162,160,0,143,0,0
31074,163,160,0,143,0,0
32293,166,160,0,143,0,0
34067,168,160,0,143,0,0
35230,169,160,0,143,0,0
36794,170,160,0,143,0,0
38602,171,160,0,143,0,0
39714,175,160,0,143,0,0
40761,176,160,0,143,0,0
42653,178,160,0,143,0,0
44707,180,160,0,143,0,0
45938,181,160,0,143,0,0
47326,184,160,0,143,0,0
48539,186,160,0,143,0,0
338930,188,160,0,143,0,0
338930,188,160,0,143,0,0
