elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1011,65,133,0,125,0,0
2102,118,133,0,125,0,0
3228,126,133,0,125,0,0
4605,128,139,0,128,0,0
5653,130,139,0,128,0,0
6701,133,139,0,128,0,0
7950,136,139,0,128,0,0
9059,138,139,0,128,0,0
10380,142,139,0,128,0,0
11633,145,139,0,128,0,0
13104,148,139,0,128,0,0
14744,150,139,0,128,0,0
15773,152,139,0,128,0,0
17127,157,139,0,128,0,0
18501,159,139,0,128,0,0
19935,161,139,0,128,0,0
21532,163,139,0,128,0,0
22610,165,139,0,128,0,0
23804,167,139,0,128,0,0
25464,169,139,0,128,0,0
27099,171,139,0,128,0,0
28115,172,139,0,128,0,0
29673,176,139,0,128,0,0
30823,177,139,0,128,0,0
32182,178,139,0,128,0,0
33747,179,139,0,128,0,0
35335,180,139,0,128,0,0
36769,182,139,0,128,0,0
39269,184,139,0,128,0,0
41321,185,139,0,128,0,0
43179,186,139,0,128,0,0
44258,187,139,0,128,0,0
45538,188,139,0,128,0,0
46884,189,139,0,128,0,0
47973,190,139,0,128,0,0
49062,191,139,0,128,0,0
453884,192,139,0,128,0,0
453884,192,139,0,128,0,0
