elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1006,54,448,436,0
2010,121,564,545,0
3015,190,609,585,0
4017,263,667,634,0
5036,339,701,665,0
6048,412,740,701,0
7052,482,775,732,0
8065,556,792,747,0
9077,627,829,780,1
10085,700,846,796,1
11092,771,855,805,1
12107,843,861,811,1
13111,914,874,823,1
14123,985,904,850,1
15126,1057,945,887,1
16133,1126,972,912,1
17137,1198,977,917,1
18137,1263,988,927,1
19143,1338,1008,946,2
20155,1415,1016,953,2
21157,1487,1025,961,2
22164,1559,1033,968,2
23175,1627,1034,969,2
24183,1702,1045,980,3
25190,1773,1048,982,3
26191,1842,1048,982,3
27199,1912,1049,983,3
28202,1979,1058,990,3
29203,2052,1062,994,3
30214,2122,1062,994,3
31219,2193,1064,995,3
32226,2265,1078,1004,3
33237,2331,1079,1005,3
34249,2396,1079,1005,3
35253,2466,1098,1023,3
36265,2536,1098,1023,3
37275,2607,1103,1028,3
38276,2672,1107,1031,3
39284,2740,1113,1037,3
40291,2808,1125,1048,3
41295,2880,1125,1048,3
42304,2948,1125,1048,3
43310,3015,1125,1048,3
44319,3083,1126,1049,3
45327,3153,1126,1049,3
46327,3222,1127,1050,3
47330,3290,1135,1057,3
48330,3357,1137,1059,3
49335,3427,1149,1069,3
50344,3498,1155,1075,4
51357,3568,1162,1081,4
52360,3640,1175,1093,4
53374,3703,1183,1100,5
54378,3770,1183,1100,5
55387,3831,1183,1100,5
56398,3896,1183,1100,5
57407,3963,1184,1100,5
58412,4022,1184,1100,5
59419,4086,1188,1103,5
60426,4149,1188,1103,5
61437,4211,1188,1103,5
62437,4269,1200,1114,5
63437,4325,1200,1114,5
64443,4383,1200,1114,5
65447,4442,1200,1114,5
66458,4501,1201,1115,5
67476,4562,1208,1121,6
68484,4620,1210,1123,6
69498,4680,1210,1123,6
70513,4739,1214,1126,6
71513,4795,1221,1133,6
72526,4852,1221,1133,6
73540,4906,1221,1133,6
74540,4964,1221,1133,6
75554,5020,1221,1133,6
76566,5077,1229,1139,6
77579,5134,1229,1139,6
78591,5187,1236,1145,6
79599,5241,1237,1146,6
80600,5297,1243,1149,6
81617,5353,1243,1149,6
82628,5409,1246,1150,6
83641,5468,1247,1151,6
84652,5523,1247,1151,6
85664,5578,1252,1155,6
86680,5634,1253,1156,6
87696,5689,1253,1156,6
88709,5742,1260,1161,6
89726,5797,1260,1161,6
90741,5851,1260,1161,6
91756,5907,1267,1168,6
92760,5962,1267,1168,6
93775,6017,1267,1168,6
94791,6073,1267,1168,6
95796,6128,1267,1168,6
96803,6186,1267,1168,6
97806,6239,1267,1168,6
98821,6291,1267,1168,6
99822,6344,1268,1169,6
100835,6400,1268,1169,6
101845,6455,1269,1170,6
102856,6510,1276,1176,6
103866,6563,1276,1176,6
104869,6618,1278,1177,6
105883,6675,1278,1177,6
106885,6728,1278,1177,6
107891,6780,1278,1177,6
108902,6834,1278,1177,6
109926,6887,1278,1177,6
110932,6944,1279,1177,6
111946,6998,1286,1184,6
112964,7051,1286,1184,6
113983,7104,1289,1187,6
114995,7161,1292,1190,6
115998,7217,1292,1190,6
117013,7274,1292,1190,6
118022,7325,1292,1190,6
119040,7383,1292,1190,6
120040,7433,1298,1195,6
121057,7485,1299,1195,6
122063,7541,1299,1195,6
123067,7589,1299,1195,6
124084,7642,1305,1200,6
125093,7698,1308,1203,6
126097,7751,1308,1203,6
127110,7805,1308,1203,6
128115,7858,1308,1203,6
129122,7914,1308,1203,6
130139,7969,1308,1203,6
131140,8025,1308,1203,6
132152,8081,1322,1215,6
133166,8134,1331,1221,6
134174,8190,1331,1221,6
135187,8246,1331,1221,6
136206,8303,1331,1221,6
137212,8357,1331,1221,6
138224,8409,1337,1226,6
139230,8462,1338,1227,6
140242,8516,1343,1232,6
141254,8573,1344,1233,6
142261,8625,1344,1233,6
143269,8674,1350,1237,6
144279,8729,1350,1237,6
145295,8784,1354,1239,6
146307,8841,1359,1243,6
147311,8896,1359,1243,6
148326,8944,1359,1243,6
149336,8999,1359,1243,6
