elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1021,51,455,447,0
2026,107,533,520,0
3040,159,545,531,0
4057,212,586,567,0
5070,265,619,597,0
6081,319,655,625,0
7083,374,699,665,0
8085,426,725,687,0
9095,481,751,709,0
10105,535,773,729,0
11119,591,809,765,0
12131,646,835,787,1
13132,697,844,793,1
14146,752,844,793,1
15153,806,857,805,1
16153,860,857,805,1
17170,913,860,806,1
18174,966,868,813,1
19183,1022,888,828,1
20193,1075,896,835,1
21207,1130,906,843,1
22214,1188,909,846,1
23221,1240,913,851,1
24230,1298,918,854,1
25243,1355,935,870,1
26263,1412,942,876,1
27263,1468,951,885,1
28267,1520,956,889,1
29275,1576,956,889,1
30284,1630,973,905,1
31293,1685,993,923,1
32294,1739,1009,939,1
33304,1793,1015,944,1
34315,1850,1026,954,1
35322,1905,1026,954,1
36329,1961,1033,961,1
37348,2015,1035,963,1
38351,2066,1039,967,1
39360,2121,1058,984,1
40382,2176,1069,994,1
41389,2225,1069,994,1
1399494,2239,1071,996,1
1399494,2239,1071,996,1
