elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1000,61,296,0,265,0,0
2176,95,330,0,292,0,0
3815,99,330,0,292,0,0
5092,101,330,0,292,0,0
6599,105,330,0,292,0,0
8207,111,330,0,292,0,0
9488,114,330,0,292,0,0
10552,115,330,0,292,0,0
12089,118,330,0,292,0,0
13482,120,330,0,292,0,0
15357,122,330,0,292,0,0
16507,123,330,0,292,0,0
18153,124,330,0,292,0,0
19179,125,330,0,292,0,0
20413,126,330,0,292,0,0
152959,128,330,0,292,0,0
153960,170,342,0,303,0,0
154960,217,364,0,319,0,0
156022,235,364,0,319,0,0
157388,243,364,0,319,0,0
158461,245,364,0,319,0,0
159666,247,364,0,319,0,0
161009,249,364,0,319,0,0
162371,251,364,0,319,0,0
163796,253,364,0,319,0,0
164898,255,364,0,319,0,0
165995,258,364,0,319,0,0
167156,261,364,0,319,0,0
169079,263,364,0,319,0,0
170167,268,364,0,319,0,0
171242,269,364,0,319,0,0
281466,270,364,0,319,0,0
282477,324,414,0,359,0,0
283917,355,415,0,359,0,0
285137,357,426,0,365,0,0
286673,359,426,0,365,0,0
288562,361,426,0,365,0,0
290281,363,426,0,365,0,0
291760,365,426,0,365,0,0
293084,368,426,0,365,0,0
294210,373,426,0,365,0,0
295500,376,426,0,365,0,0
297168,380,426,0,365,0,0
299442,382,426,0,365,0,0
300260,384,426,0,365,0,0
