elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1008,61,264,0,239,0,0
2074,96,286,0,256,0,0
3233,100,286,0,256,0,0
4588,104,286,0,256,0,0
5602,106,286,0,256,0,0
6894,108,299,0,267,0,0
8128,110,299,0,267,0,0
9318,113,300,0,267,0,0
11002,117,300,0,267,0,0
12634,119,300,0,267,0,0
13797,125,300,0,267,0,0
15812,130,343,0,303,0,0
16879,131,343,0,303,0,0
18296,134,343,0,303,0,0
145308,136,343,0,303,0,0
146320,181,389,0,336,0,0
147352,218,391,0,336,0,0
148794,224,400,0,342,0,0
150397,227,408,0,349,0,0
151565,229,408,0,349,0,0
152690,231,408,0,349,0,0
153968,233,408,0,349,0,0
154998,238,408,0,349,0,0
156248,240,408,0,349,0,0
157440,243,408,0,349,0,0
158493,250,408,0,349,0,0
159777,251,408,0,349,0,0
161300,252,408,0,349,0,0
162998,253,408,0,349,0,0
296127,254,408,0,349,0,0
297142,316,437,0,370,0,0
298504,343,446,0,377,0,0
299581,349,446,0,377,0,0
300291,352,447,0,377,0,0
