elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1000,56,248,0,226,0,0
2086,94,296,0,262,0,0
3185,98,296,0,262,0,0
4532,101,306,0,269,0,0
5855,104,306,0,269,0,0
6944,106,306,0,269,0,0
7972,109,317,0,279,0,0
9117,113,317,0,279,0,0
10773,116,317,0,279,0,0
12481,118,317,0,279,0,0
14186,120,329,0,289,0,0
15341,122,332,0,291,0,0
16353,123,332,0,291,0,0
17606,124,332,0,291,0,0
114739,125,332,0,291,0,0
115742,194,359,0,313,0,0
116845,228,361,0,313,0,0
117944,233,361,0,313,0,0
119492,237,361,0,313,0,0
120518,239,361,0,313,0,0
121599,242,361,0,313,0,0
122766,246,361,0,313,0,0
124804,248,361,0,313,0,0
125985,249,361,0,313,0,0
127898,251,380,0,328,0,0
129109,253,380,0,328,0,0
130717,255,380,0,328,0,0
131754,256,380,0,328,0,0
133215,257,380,0,328,0,0
252848,258,400,0,344,0,0
253871,324,420,0,358,0,0
254888,342,430,0,364,0,0
256105,346,430,0,364,0,0
257307,349,430,0,364,0,0
258914,353,430,0,364,0,0
260545,355,430,0,364,0,0
261790,357,430,0,364,0,0
263343,359,430,0,364,0,0
264358,360,435,0,366,0,0
265458,361,435,0,366,0,0
266524,362,435,0,366,0,0
268372,365,435,0,366,0,0
269384,366,435,0,366,0,0
270480,367,435,0,366,0,0
400861,369,435,0,366,0,0
400861,369,435,0,366,0,0
