elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1437,1,170,0,163,0,0
2844,2,170,0,163,0,0
4207,3,170,0,163,0,0
141657,4,218,0,204,0,0
142685,59,302,0,267,0,0
143893,95,384,0,331,0,0
145043,99,384,0,331,0,0
146323,103,384,0,331,0,0
147557,105,384,0,331,0,0
149074,109,384,0,331,0,0
150485,111,384,0,331,0,0
151873,113,384,0,331,0,0
153358,119,384,0,331,0,0
154382,125,384,0,331,0,0
156046,127,384,0,331,0,0
157644,128,384,0,331,0,0
159393,129,384,0,331,0,0
160755,131,384,0,331,0,0
162271,133,384,0,331,0,0
163358,134,384,0,331,0,0
165155,136,384,0,331,0,0
312418,138,388,0,333,0,0
312418,138,388,0,333,0,0
