elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1003,60,198,8,163,0,0
3334,115,204,8,167,0,0
4339,207,209,8,170,0,0
7227,266,209,8,170,0,0
8231,379,209,8,170,0,0
9522,395,209,8,170,0,0
10527,516,209,8,170,0,0
11776,526,209,8,170,0,0
12786,650,209,8,170,0,0
14101,675,209,8,170,0,0
15102,798,209,8,170,0,0
16791,838,209,8,170,0,0
17792,940,209,8,170,0,0
19752,1007,209,8,170,0,0
20759,1130,209,8,170,0,0
21762,1198,209,8,170,0,0
23731,1213,209,8,170,0,0
24743,1324,209,8,170,0,0
27441,1421,209,8,170,0,0
28445,1529,209,8,170,0,0
29447,1629,209,8,170,0,0
31714,1651,209,8,170,0,0
32714,1782,209,8,170,0,0
34486,1860,209,8,170,0,0
35492,1976,210,8,170,0,0
36501,2096,210,8,170,0,0
38352,2156,210,8,170,0,0
39354,2246,210,8,170,0,0
40363,2275,210,8,170,0,0
41364,2389,210,8,170,0,0
42929,2398,210,8,170,0,0
46054,2399,210,8,170,0,0
48840,2400,210,8,170,0,0
51423,2401,210,8,170,0,0
54067,2402,210,8,170,0,0
57222,2403,210,8,170,0,0
60588,2404,210,8,170,0,0
62265,2405,210,8,170,0,0
63662,2406,210,8,170,0,0
65108,2407,210,8,170,0,0
66288,2408,210,8,170,0,0
67830,2410,210,8,170,0,0
69298,2412,210,8,170,0,0
70949,2414,210,8,170,0,0
73073,2416,210,8,170,0,0
75834,2417,210,8,170,0,0
78629,2418,210,8,170,0,0
81478,2419,210,8,170,0,0
83051,2420,210,8,170,0,0
86263,2421,210,8,170,0,0
89840,2422,210,8,170,0,0
93887,2423,210,8,170,0,0
97237,2424,210,8,170,0,0
100874,2426,210,8,170,0,0
103658,2427,210,8,170,0,0
106682,2428,210,8,170,0,0
109318,2429,210,8,170,0,0
111995,2430,210,8,170,0,0
113226,2432,210,8,170,0,0
116712,2434,210,8,170,0,0
120246,2436,210,8,170,0,0
123040,2437,210,8,170,0,0
126036,2438,210,8,170,0,0
127675,2439,210,8,170,0,0
941189,2440,210,8,170,0,0
941189,2440,210,8,170,0,0
