elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1008,84,314,293,8
2013,166,330,304,10
3025,244,339,309,12
4028,328,352,320,15
5030,413,360,328,16
6039,500,360,328,16
7042,586,364,332,16
8046,667,373,342,17
9053,753,376,345,18
10053,836,377,346,18
11057,922,378,347,18
12072,1009,379,348,18
13082,1095,379,348,18
14092,1181,379,348,18
15099,1268,382,351,19
16108,1356,383,352,19
17113,1442,383,352,19
18130,1518,383,353,19
19135,1605,383,353,19
20147,1689,383,353,19
21154,1774,383,353,19
22164,1859,383,353,19
23167,1939,383,353,19
24168,2023,383,353,19
25179,2109,383,353,19
26183,2195,384,354,19
27192,2281,384,354,19
28192,2368,384,356,19
29200,2455,384,356,19
30207,2543,384,356,19
31209,2631,384,356,19
32214,2719,384,356,19
33217,2802,384,356,19
34219,2887,384,356,19
35231,2976,384,356,19
36234,3059,384,356,19
37240,3146,384,356,19
38249,3230,386,358,20
39254,3315,386,358,20
40264,3403,386,358,20
41268,3490,386,358,20
42278,3577,386,358,20
43286,3665,386,358,20
44299,3751,386,358,20
45300,3839,387,359,20
46309,3924,387,359,20
47314,4006,387,359,20
48316,4091,387,359,20
49328,4181,387,359,20
50338,4268,387,359,20
51344,4355,387,360,20
52352,4437,387,360,20
53354,4521,388,361,20
54354,4608,388,361,20
55365,4697,388,361,20
56372,4782,388,361,20
57375,4863,388,361,20
58381,4948,388,361,20
59382,5036,388,361,20
60390,5123,388,361,20
61395,5212,389,361,20
62402,5297,389,361,20
63411,5383,389,361,20
64420,5470,389,361,20
65425,5554,389,361,20
66425,5641,389,361,20
67432,5719,389,361,20
68441,5805,389,361,20
69452,5892,389,361,20
70459,5980,389,361,20
71464,6063,389,361,20
72474,6145,389,361,20
73482,6233,389,361,20
74488,6322,389,361,20
75490,6406,390,362,20
76496,6491,390,362,20
77500,6572,390,362,20
78505,6659,390,362,20
79510,6746,390,362,20
80516,6832,390,362,20
81518,6913,390,362,20
82530,6995,390,362,20
83531,7082,390,362,20
84538,7171,390,362,20
85548,7255,390,362,20
86551,7343,390,362,20
87554,7424,390,362,20
88565,7510,390,362,20
89572,7594,390,362,20
90577,7677,390,362,20
91585,7767,390,362,20
92591,7847,390,362,20
93591,7930,390,362,20
94600,8015,390,362,20
95607,8101,390,362,20
96608,8188,390,362,20
97618,8277,390,362,20
98624,8363,396,367,20
99633,8451,396,367,20
100642,8538,396,367,20
101646,8617,396,367,20
102653,8697,396,367,20
103656,8785,396,367,20
104656,8870,396,367,20
105660,8959,396,367,20
106665,9042,396,367,20
107670,9124,396,367,20
108673,9208,396,367,20
109680,9297,396,367,20
110683,9381,396,367,20
111683,9467,396,367,20
112693,9546,396,367,20
113696,9630,396,367,20
114697,9718,396,369,20
115697,9802,396,369,20
116699,9890,396,369,20
117706,9970,396,369,20
118716,10057,397,370,20
119721,10142,397,370,20
120729,10220,397,370,20
121735,10299,397,370,20
122740,10381,397,370,20
123742,10466,397,370,20
124753,10551,397,370,20
125757,10639,397,370,20
126767,10726,397,370,20
127775,10808,397,370,20
128792,10896,397,370,20
