mode,executed_traces_mean,executed_traces_std,visited_branches_mean,visited_branches_std,reached_branches_mean,reached_branches_std,unique_errors_mean,unique_errors_std,runtime_seconds_mean,runtime_seconds_std
random,163468.60,107169.35,303.20,6.26,303.20,6.26,17.60,0.89,305.20,11.63
hillclimb,3876.80,6840.24,304.00,2.35,304.00,2.35,17.40,0.89,3056.80,4806.61
