elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1002,102,154,0,140,0,0
2025,198,160,0,143,0,0
3130,265,160,0,143,0,0
4512,268,160,0,143,0,0
6097,269,160,0,143,0,0
8204,270,160,0,143,0,0
9533,271,160,0,143,0,0
10662,273,160,0,143,0,0
13210,275,160,0,143,0,0
15156,276,160,0,143,0,0
17203,277,160,0,143,0,0
18884,278,160,0,143,0,0
20570,279,160,0,143,0,0
22718,280,160,0,143,0,0
24789,281,160,0,143,0,0
26965,282,160,0,143,0,0
30076,284,160,0,143,0,0
32576,285,160,0,143,0,0
35130,286,160,0,143,0,0
38037,287,160,0,143,0,0
40685,288,160,0,143,0,0
42083,289,160,0,143,0,0
44395,290,160,0,143,0,0
46306,291,160,0,143,0,0
49272,292,160,0,143,0,0
52606,293,160,0,143,0,0
56279,294,160,0,143,0,0
59881,295,160,0,143,0,0
64006,296,160,0,143,0,0
67855,297,160,0,143,0,0
70188,298,160,0,143,0,0
72609,299,160,0,143,0,0
75363,300,160,0,143,0,0
77469,302,160,0,143,0,0
79148,303,160,0,143,0,0
2753467,304,160,0,143,0,0
2753467,304,160,0,143,0,0
