elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1902,72,156,5,141,1,1
3584,73,156,5,141,1,0
4587,123,156,5,141,1,0
5590,223,156,5,141,1,0
7419,319,157,5,141,1,0
8421,372,157,5,141,1,0
9847,398,157,5,141,1,0
38035,414,167,5,148,2,0
39041,519,167,5,148,2,0
40052,525,167,5,148,2,0
41060,609,167,5,148,2,0
42611,665,167,5,148,2,0
114944,708,181,7,159,2,0
117082,794,181,7,159,2,0
118094,877,181,7,159,2,0
230217,889,198,10,171,2,0
231726,908,198,10,171,2,0
232728,1020,198,10,171,2,0
234610,1085,198,10,171,2,0
235696,1155,198,10,171,2,0
236867,1199,198,10,171,2,0
237875,1300,198,10,171,2,0
239451,1371,198,10,171,2,0
240457,1457,198,10,171,2,0
241463,1535,198,10,171,2,0
245479,1543,198,10,171,2,0
246497,1618,198,10,171,2,0
247520,1714,198,10,171,2,0
248523,1731,198,10,171,2,0
255471,1740,198,10,171,2,0
256495,1815,198,10,171,2,0
257505,1885,198,10,171,2,0
258557,1903,198,10,171,2,0
259579,1914,198,10,171,2,0
268051,1917,198,10,171,2,0
269063,1997,198,10,171,2,0
270092,2080,198,10,171,2,0
271203,2091,198,10,171,2,0
272222,2102,198,10,171,2,0
278759,2103,198,10,171,2,0
279763,2187,198,10,171,2,0
280776,2224,198,10,171,2,0
281825,2258,198,10,171,2,0
282933,2272,198,10,171,2,0
283972,2291,198,10,171,2,0
294434,2292,198,10,171,2,0
295437,2381,198,10,171,2,0
296466,2454,198,10,171,2,0
297514,2469,198,10,171,2,0
298588,2484,198,10,171,2,0
309700,2492,198,10,171,2,0
309700,2492,198,10,171,2,0
