elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1000,750,197,197,3
2000,1459,214,214,3
3000,2156,216,216,4
4000,2908,236,236,4
5000,3631,248,248,4
6000,4362,248,248,4
7001,5122,248,248,4
8001,5853,248,248,4
9001,6569,248,248,4
10001,7320,248,248,4
11002,8063,248,248,4
12002,8805,248,248,4
13002,9506,248,248,4
14002,10170,248,248,4
15002,10934,248,248,4
16002,11676,248,248,4
17002,12427,248,248,4
18002,13164,248,248,4
19003,13902,248,248,4
20003,14644,248,248,4
21004,15335,248,248,4
22004,15830,248,248,4
23004,16569,248,248,4
24004,17331,248,248,4
25006,18086,248,248,4
26006,18823,248,248,4
27006,19559,248,248,4
28006,20241,248,248,4
29006,20967,248,248,4
30006,21705,248,248,4
31006,22459,248,248,4
32006,23210,248,248,4
33007,23924,248,248,4
34008,24664,248,248,4
35008,25412,248,248,4
36008,26139,248,248,4
37009,26880,248,248,4
38009,27621,248,248,4
39009,28369,248,248,4
40009,29112,248,248,4
41009,29860,248,248,4
42010,30616,248,248,4
43111,31309,248,248,4
44111,32029,248,248,4
45111,32771,248,248,4
46111,33465,248,248,4
47111,34187,248,248,4
48111,34930,248,248,4
49111,35665,248,248,4
50111,36408,248,248,4
51112,37164,248,248,4
52112,37907,248,248,4
53112,38643,248,248,4
54112,39374,248,248,4
55112,40126,248,248,4
56112,40877,248,248,4
57112,41613,248,248,4
58112,42345,248,248,4
59112,43116,248,248,4
60112,43870,248,248,4
61112,44626,248,248,4
62112,45339,248,248,4
63112,46092,248,248,4
64113,46831,248,248,4
65113,47584,248,248,4
66113,48317,257,257,4
67113,49049,257,257,4
68113,49790,257,257,4
69114,50542,257,257,4
70115,51268,257,257,4
71115,52027,257,257,4
72115,52748,257,257,4
73116,53505,257,257,4
74116,54255,257,257,4
75116,55010,257,257,4
76116,55761,268,268,4
77116,56447,268,268,4
78116,56875,268,268,4
79117,57633,268,268,4
80117,58377,274,274,4
81117,59077,274,274,4
82118,59817,274,274,4
83119,60571,274,274,4
84119,61327,275,275,4
85120,62076,275,275,4
86120,62825,275,275,4
87121,63562,275,275,4
88121,64304,275,275,4
89122,65042,275,275,4
90122,65790,277,277,5
91123,66529,277,277,5
92123,67271,277,277,5
93123,68006,277,277,5
94123,68764,277,277,5
95123,69497,277,277,5
96124,70227,277,277,5
97124,70958,277,277,5
98125,71535,277,277,5
99126,72276,277,277,5
100127,73020,277,277,5
101127,73761,277,277,5
102127,74473,277,277,5
103128,75220,277,277,5
104128,75986,277,277,5
105129,76744,277,277,5
106129,77491,277,277,5
107129,78237,277,277,5
108129,78969,277,277,5
109130,79712,277,277,5
110130,80437,277,277,5
111130,81185,277,277,5
112131,81909,277,277,5
113131,82643,277,277,5
114131,83386,277,277,5
115131,84141,277,277,5
116132,84891,282,282,6
117132,85614,282,282,6
118132,86355,282,282,6
119132,87101,282,282,6
120133,87851,282,282,6
121133,88595,282,282,6
122134,89321,282,282,6
123134,90042,282,282,6
124134,90789,282,282,6
125134,91535,282,282,6
126134,92278,282,282,6
127135,93004,282,282,6
128135,93719,282,282,6
129136,94309,282,282,6
130136,95042,282,282,6
131136,95766,282,282,6
132136,96511,282,282,6
133136,97254,282,282,6
134136,98017,282,282,6
135138,98769,282,282,6
136138,99518,282,282,6
137138,100263,282,282,6
138138,101001,282,282,6
139139,101729,282,282,6
140139,102460,282,282,6
141139,103221,282,282,6
142139,103932,282,282,6
143139,104665,283,283,6
144139,105402,283,283,6
145139,106140,283,283,6
146139,106893,283,283,6
147140,107609,283,283,6
148140,108332,283,283,6
149140,109075,283,283,6
150141,109808,283,283,6
151142,110554,283,283,6
152142,111295,283,283,6
153142,112050,283,283,6
154142,112795,283,283,6
155142,113534,283,283,6
156142,114265,291,291,6
157143,114890,291,291,6
158143,115636,291,291,6
159143,116377,291,291,6
160144,117135,291,291,6
161144,117865,291,291,6
162145,118581,291,291,6
163145,119312,291,291,6
164145,120031,291,291,6
165145,120779,291,291,6
166145,121523,291,291,6
167146,122270,291,291,6
168146,123004,291,291,6
169146,123744,291,291,6
170146,124474,291,291,6
171147,125211,291,291,6
172147,125946,291,291,6
173148,126685,291,291,6
174148,127412,291,291,6
175148,128155,291,291,6
176148,128894,291,291,6
177148,129631,291,291,6
178148,130372,291,291,6
179148,131112,291,291,6
180148,131860,291,291,6
181149,132618,291,291,6
182149,133327,291,291,6
183150,134005,291,291,6
184150,134745,291,291,6
185150,135494,291,291,6
186150,136224,291,291,6
187151,136959,291,291,6
188152,137715,291,291,6
189152,138470,291,291,6
190153,139213,291,291,6
191153,139973,291,291,6
192154,140706,291,291,6
193155,141419,291,291,6
194156,142172,291,291,6
195156,142927,291,291,6
196156,143669,291,291,6
197157,144411,291,291,6
198158,145152,291,291,6
199158,145891,291,291,6
200158,146646,291,291,6
201158,147393,291,291,6
202158,148112,291,291,6
203186,148619,291,291,6
204186,149212,291,291,6
205186,149949,291,291,6
206186,150688,291,291,6
207186,151428,291,291,6
208186,152152,291,291,6
209186,152883,291,291,6
210186,153636,291,291,6
211187,154367,291,291,6
212187,155095,291,291,6
213187,155834,291,291,6
214188,156562,291,291,6
215188,157324,291,291,6
216188,158056,291,291,6
217189,158785,291,291,6
218190,159534,291,291,6
219191,160295,291,291,6
220191,161014,291,291,6
221193,161697,291,291,6
222193,162357,291,291,6
223193,162992,291,291,6
224193,163658,291,291,6
225193,164334,291,291,6
226193,165003,291,291,6
227194,165681,291,291,6
228194,166247,291,291,6
229194,166908,291,291,6
230195,167589,291,291,6
231195,168280,291,291,6
232196,168941,291,291,6
233197,169613,291,291,6
234197,170289,291,291,6
235198,170944,291,291,6
236198,171637,291,291,6
237198,172320,291,291,6
238198,172997,291,291,6
239199,173631,291,291,6
240200,174270,291,291,6
241201,174873,291,291,6
242201,175591,291,291,6
243201,176316,291,291,6
244202,177073,291,291,6
245202,177822,291,291,6
246202,178585,291,291,6
247202,179305,291,291,6
248202,180036,291,291,6
249202,180793,291,291,6
250202,181549,291,291,6
251203,182309,291,291,6
252204,183043,291,291,6
253204,183790,291,291,6
254204,184540,291,291,6
255204,185297,291,291,6
256204,186056,291,291,6
257205,186759,291,291,6
258205,187365,291,291,6
259206,188098,291,291,6
260206,188855,291,291,6
261206,189604,291,291,6
262208,190321,291,291,6
263208,191041,291,291,6
264209,191788,291,291,6
265210,192508,291,291,6
266211,193261,291,291,6
267212,193992,291,291,6
268213,194757,291,291,6
269214,195481,291,291,6
270215,196219,291,291,6
271215,196956,291,291,6
272215,197668,291,291,6
273215,198415,291,291,6
274215,199152,291,291,6
275216,199892,291,291,6
276216,200639,291,291,6
277216,201348,291,291,6
278216,202118,291,291,6
279217,202843,291,291,6
280218,203593,291,291,6
281218,204348,291,291,6
282218,205061,291,291,6
283218,205772,291,291,6
284219,206529,291,291,6
285219,207254,291,291,6
286220,207993,291,291,6
287221,208690,291,291,6
288222,209411,291,291,6
289222,210035,291,291,6
290222,210759,291,291,6
291222,211496,291,291,6
292222,212233,291,291,6
293222,212978,291,291,6
294222,213704,291,291,6
295223,214464,291,291,6
296223,215212,291,291,6
297223,215932,291,291,6
298223,216680,291,291,6
299223,217443,291,291,6
300001,218025,291,291,6
