elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1000,484,276,276,7
2001,897,302,302,8
3002,1272,323,323,8
4004,1694,327,327,8
5005,2077,416,416,12
6005,2455,504,504,13
7009,2849,529,529,14
8010,3245,553,553,14
9010,3625,553,553,14
10010,4053,593,593,14
11011,4449,635,635,14
12012,4750,750,750,14
13013,5158,783,783,14
14013,5591,790,790,14
15013,5944,803,803,14
16014,6283,827,827,14
17015,6617,837,837,14
18015,6909,879,879,15
19015,7252,897,897,15
20015,7600,923,923,15
21016,7915,928,928,15
22018,8255,940,940,15
23018,8539,947,947,15
24018,8958,953,953,15
25020,9350,953,953,15
26021,9729,965,965,15
27023,10134,966,966,15
28023,10555,966,966,15
29023,10996,966,966,15
30024,11412,966,966,15
31026,11883,975,975,15
32026,12371,975,975,15
33027,12860,975,975,15
34027,13364,977,977,15
35027,13840,978,978,15
36028,14313,978,978,15
3445940,14679,978,978,15
3445951,14680,978,978,15
