elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1001,683,249,249,3
2002,1136,276,276,6
3002,1837,314,314,8
4002,2462,415,415,12
5004,2820,497,497,13
6005,3130,565,565,15
7007,3443,582,582,15
8008,3759,602,602,15
9013,4058,676,676,15
10013,4305,708,708,15
11016,4583,771,771,15
12019,4849,784,784,15
13019,5106,799,799,15
14022,5346,847,847,15
15022,5639,856,856,15
16022,5957,863,863,15
17025,6257,885,885,15
18027,6522,913,913,15
19030,6771,915,915,15
20033,7035,934,934,15
21034,7286,949,949,15
22036,7567,950,950,15
23038,7842,951,951,15
24039,8117,954,954,15
25040,8374,955,955,15
26041,8618,955,955,15
27043,8895,961,961,15
28043,9176,962,962,15
29043,9402,995,995,15
30045,9652,1007,1007,15
31047,10004,1007,1007,15
32047,10313,1016,1016,15
33049,10596,1028,1028,15
34050,10844,1031,1031,15
35053,11068,1031,1031,15
36056,11320,1042,1042,15
37058,11562,1046,1046,15
38061,11815,1046,1046,15
39064,12064,1049,1049,15
40065,12295,1049,1049,15
41065,12540,1053,1053,15
42066,12785,1054,1054,15
43069,13024,1054,1054,15
44069,13271,1054,1054,15
45070,13471,1063,1063,15
46070,13711,1076,1076,15
47071,13966,1078,1078,15
48073,14219,1078,1078,15
49079,14464,1079,1079,15
50080,14700,1082,1082,15
51081,14953,1084,1084,15
52081,15095,1094,1094,15
53082,15293,1095,1095,15
54085,15491,1098,1098,15
55085,15678,1098,1098,15
56086,15884,1101,1101,15
57092,16095,1101,1101,15
58093,16343,1102,1102,15
59094,16598,1103,1103,15
60094,16835,1104,1104,15
61095,17081,1104,1104,15
62097,17335,1105,1105,15
63099,17579,1106,1106,15
64100,17816,1106,1106,15
65102,18033,1106,1106,15
66103,18302,1114,1114,15
67107,18624,1116,1116,15
68112,18795,1117,1117,15
69113,19000,1117,1117,15
70116,19188,1117,1117,15
71116,19374,1124,1124,15
72117,19564,1125,1125,15
73119,19754,1125,1125,15
74120,19954,1135,1135,15
75126,20128,1142,1142,15
76130,20303,1149,1149,15
