elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1000,645,197,197,3
2121,1199,197,197,3
3121,1872,221,221,4
4121,2535,246,246,4
5122,3216,246,246,4
6122,3903,246,246,4
7122,4563,246,246,4
8122,5243,246,246,4
9123,5928,246,246,4
10124,6539,246,246,4
11124,7152,246,246,4
12124,7826,246,246,4
13125,8490,246,246,4
14125,9198,246,246,4
15126,9884,246,246,4
16126,10549,246,246,4
17127,11231,246,246,4
18127,11911,247,247,4
19127,12613,247,247,4
20127,13297,247,247,4
21129,13988,247,247,4
22129,14651,247,247,4
23129,15302,247,247,4
24129,15978,247,247,4
25130,16653,247,247,4
26131,17317,247,247,4
27134,17985,247,247,4
28134,18542,247,247,4
29134,19215,247,247,4
30134,19881,247,247,4
31134,20558,247,247,4
32135,21238,247,247,4
33135,21900,247,247,4
34135,22598,247,247,4
35136,23272,247,247,4
36137,23957,272,272,5
37137,24628,272,272,5
38137,25297,272,272,5
39138,25997,272,272,5
40138,26665,272,272,5
41139,27356,272,272,5
42139,28002,272,272,5
43140,28694,272,272,5
44140,29380,272,272,5
45140,30068,272,272,5
46140,30727,272,272,5
47140,31394,272,272,5
48140,32077,272,272,5
49140,32772,272,272,5
50140,33470,272,272,5
51140,34172,272,272,5
52140,34853,272,272,5
53140,35534,272,272,5
54140,36213,272,272,5
55140,36886,272,272,5
56141,37559,272,272,5
57141,38240,272,272,5
58142,38914,272,272,5
59142,39597,272,272,5
60142,40291,272,272,5
61142,40986,272,272,5
62142,41649,272,272,5
63143,42312,272,272,5
64144,42988,272,272,5
65144,43657,272,272,5
66145,44286,272,272,5
67145,44980,272,272,5
68145,45671,272,272,5
69146,46348,272,272,5
70643,46694,272,272,5
71643,47339,272,272,5
72643,47996,273,273,5
73644,48690,273,273,5
74645,49382,273,273,5
75646,50068,273,273,5
76646,50736,273,273,5
77646,51401,273,273,5
78647,52087,273,273,5
79647,52769,273,273,5
80647,53459,273,273,5
81647,54143,273,273,5
82647,54761,273,273,5
83647,55442,273,273,5
84647,56132,273,273,5
85647,56786,273,273,5
86647,57466,273,273,5
87647,58097,273,273,5
88647,58794,273,273,5
89648,59485,273,273,5
90648,60176,273,273,5
91649,60804,273,273,5
92649,61466,273,273,5
93649,62140,273,273,5
94650,62832,273,273,5
95650,63533,273,273,5
96650,64220,273,273,5
97650,64809,273,273,5
98650,65501,273,273,5
99650,66205,273,273,5
100650,66907,273,273,5
101650,67600,273,273,5
102650,68240,273,273,5
103650,68909,273,273,5
104651,69597,273,273,5
105651,70273,273,273,5
106651,70957,273,273,5
107651,71631,273,273,5
108651,72315,273,273,5
109651,72971,273,273,5
110651,73669,273,273,5
111651,74349,273,273,5
112652,75023,273,273,5
113652,75708,273,273,5
114652,76394,273,273,5
115652,77066,273,273,5
116652,77753,273,273,5
117652,78423,273,273,5
118652,79109,273,273,5
120212,79694,273,273,5
121213,80368,273,273,5
122213,81025,273,273,5
123213,81698,273,273,5
124213,82371,273,273,5
125213,83066,273,273,5
126213,83760,273,273,5
127219,84420,273,273,5
