mode,executed_traces_mean,executed_traces_std,visited_branches_mean,visited_branches_std,reached_branches_mean,reached_branches_std,unique_errors_mean,unique_errors_std,runtime_seconds_mean,runtime_seconds_std
random,14772.80,8130.51,384.20,31.47,355.40,31.56,19.00,4.53,892.60,1325.09
hillclimb,12354.80,2264.16,399.80,2.17,369.80,2.17,21.20,0.84,300.00,0.00
