elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1003,57,306,282,9
2007,114,316,291,11
3031,167,329,306,12
4041,226,333,307,13
5056,283,335,309,14
6072,342,351,324,14
7085,397,352,325,14
8096,453,352,325,14
9113,509,358,330,14
10115,564,359,330,14
11127,623,359,330,14
12137,683,363,334,15
13142,741,363,335,15
14158,801,363,335,15
15160,857,363,335,15
16163,915,364,336,15
17184,973,364,336,15
18201,1030,366,338,15
19217,1089,366,338,15
20228,1151,367,339,15
21240,1204,368,340,15
22253,1258,368,340,15
23267,1312,368,340,15
24279,1369,368,340,15
25282,1426,368,341,15
26291,1484,368,341,15
27333,1542,368,341,15
28350,1595,371,343,16
29368,1652,371,343,16
30378,1711,371,343,16
31378,1767,371,343,16
32391,1827,371,343,16
33405,1882,371,343,16
34411,1938,371,343,16
35411,1994,371,343,16
36428,2052,371,343,16
37442,2109,371,343,16
38455,2162,371,343,16
39463,2218,373,345,17
40464,2274,374,345,17
41469,2328,374,345,17
42483,2382,374,345,17
43489,2440,375,345,17
44495,2499,375,345,17
45510,2557,375,345,17
46512,2615,375,345,17
47523,2673,375,345,17
48530,2735,375,345,17
49530,2795,377,346,18
50537,2856,377,346,18
51547,2919,377,346,18
52558,2981,377,346,18
53562,3044,377,346,18
54574,3111,377,346,18
55574,3174,377,346,18
56580,3236,378,347,18
57591,3298,378,347,18
58595,3353,378,347,18
59604,3416,378,347,18
60610,3478,378,347,18
61619,3539,378,347,18
62620,3597,378,347,18
63620,3657,378,347,18
64629,3719,378,347,18
65635,3783,382,350,18
66647,3846,382,350,18
67654,3906,382,350,18
68655,3969,387,355,18
69655,4034,387,355,18
70666,4100,389,357,19
71673,4161,389,357,19
72675,4220,389,357,19
73675,4282,389,357,19
74679,4347,389,357,19
75679,4413,389,357,19
76685,4476,389,357,19
77697,4538,389,357,19
78717,4601,389,357,19
79722,4662,389,357,19
80722,4724,390,358,19
81729,4789,390,358,19
82745,4850,390,358,19
83745,4912,390,358,19
84757,4973,390,358,19
85774,5037,390,358,19
86777,5095,390,358,19
87779,5149,390,358,19
88784,5211,390,358,19
89794,5276,390,358,19
90797,5338,390,358,19
91811,5402,390,358,19
92814,5464,390,358,19
93825,5528,390,358,19
94827,5588,390,358,19
95833,5650,390,358,19
96845,5711,390,358,19
97859,5774,390,358,19
98866,5833,390,358,19
99871,5897,390,358,19
100890,5963,390,358,19
101898,6025,390,358,19
102903,6086,390,358,19
103904,6148,391,359,19
104912,6212,391,359,19
105918,6275,391,359,19
106930,6335,391,359,19
107937,6393,391,359,19
108937,6455,393,360,20
109948,6518,393,360,20
110957,6583,393,360,20
111976,6646,393,360,20
112985,6706,393,360,20
113990,6771,394,361,20
115002,6836,394,361,20
116011,6899,394,361,20
117023,6962,394,361,20
118047,7014,394,361,20
119058,7071,394,361,20
120061,7137,394,361,20
121077,7203,394,361,20
122083,7260,394,361,20
123100,7318,394,361,20
124108,7380,394,361,20
125116,7442,394,361,20
126116,7503,394,361,20
127121,7570,394,361,20
128130,7632,394,361,20
129139,7695,394,361,20
130145,7758,394,361,20
131159,7823,394,361,20
132160,7886,394,361,20
133164,7950,394,361,20
134180,8013,394,361,20
135184,8076,394,361,20
136190,8135,394,361,20
137202,8196,394,361,20
138215,8255,394,361,20
139217,8317,394,361,20
140222,8380,394,361,20
141223,8442,394,361,20
142240,8507,394,361,20
143248,8571,394,361,20
144253,8633,394,361,20
145266,8698,394,361,20
146269,8759,394,361,20
147278,8825,395,362,20
148296,8885,395,362,20
149310,8949,395,362,20
150316,9012,395,362,20
151321,9074,395,362,20
152325,9136,395,362,20
153336,9195,395,362,20
154344,9258,395,362,20
155346,9322,395,362,20
156371,9383,395,362,20
157374,9445,395,362,20
158387,9508,395,362,20
159393,9568,397,364,21
160403,9630,397,364,21
161403,9693,397,364,21
162419,9759,397,364,21
163420,9820,397,364,21
164433,9881,397,364,21
165442,9946,397,364,21
166449,10008,397,364,21
167462,10071,397,364,21
168466,10135,397,364,21
169478,10196,397,364,21
170490,10261,397,364,21
171490,10322,397,364,21
172501,10384,397,364,21
173511,10444,397,364,21
174522,10510,397,364,21
175536,10577,397,364,21
176549,10640,397,364,21
177549,10702,399,366,21
178565,10767,399,366,21
179583,10827,399,366,21
180588,10888,399,366,21
181599,10955,399,366,21
182607,11017,399,366,21
183619,11079,399,366,21
184624,11144,399,366,21
185634,11205,399,366,21
186639,11266,399,366,21
187664,11328,399,366,21
188679,11391,399,366,21
189681,11450,399,366,21
190686,11512,399,366,21
191707,11571,399,366,21
192713,11632,399,366,21
193719,11694,399,366,21
194739,11760,399,366,21
195743,11823,399,366,21
196743,11885,399,366,21
197748,11945,399,366,21
198749,12006,399,366,21
199751,12068,399,366,21
200765,12132,399,366,21
201768,12194,399,366,21
202781,12254,399,366,21
203789,12314,399,366,21
204790,12375,399,366,21
205790,12437,399,366,21
206791,12496,399,366,21
207793,12557,399,366,21
208816,12623,399,366,21
209823,12684,399,366,21
210830,12745,399,366,21
211835,12805,399,367,21
212851,12867,399,367,21
213855,12931,399,367,21
214870,12994,399,367,21
215871,13058,399,368,21
216871,13118,399,368,21
217885,13178,399,368,21
218895,13241,399,368,21
219895,13302,399,368,21
220895,13366,399,368,21
221901,13430,399,368,21
222911,13491,399,368,21
223914,13554,399,368,21
224916,13617,399,368,21
225920,13682,399,368,21
226927,13741,399,368,21
227928,13797,399,368,21
228932,13861,399,368,21
229936,13922,399,368,21
230936,13986,399,368,21
231954,14049,399,368,21
232967,14110,399,368,21
233969,14169,399,368,21
234986,14233,399,368,21
235994,14296,399,368,21
236994,14360,399,368,21
238005,14421,399,368,21
239010,14484,399,368,21
240016,14547,399,368,21
241021,14610,399,368,21
242033,14676,399,368,21
243039,14737,400,369,21
244049,14800,400,369,21
245065,14863,400,370,21
246068,14927,400,370,21
247081,14990,400,370,21
248088,15052,400,370,21
249091,15116,400,370,21
250104,15178,400,370,21
251119,15240,400,370,21
252135,15304,400,370,21
253139,15365,400,370,21
254142,15429,400,370,21
255150,15490,400,370,21
256157,15550,400,370,21
257168,15607,400,370,21
258171,15666,400,370,21
259174,15727,400,370,21
260178,15787,400,370,21
261178,15849,400,370,21
262190,15912,400,370,21
263198,15970,400,370,21
264200,16028,400,370,21
265217,16083,400,371,21
266218,16132,400,371,21
267220,16188,400,371,21
268222,16238,400,371,21
269233,16293,400,371,21
270248,16350,400,371,21
271251,16405,400,371,21
272276,16459,400,371,21
273283,16513,400,371,21
274296,16573,400,371,21
275305,16630,400,371,21
276305,16688,400,371,21
277307,16742,400,371,21
278318,16793,400,371,21
279332,16846,400,371,21
280341,16899,400,371,21
281346,16953,400,371,21
282360,17011,400,371,21
283365,17057,400,371,21
284383,17110,400,371,21
285386,17161,400,371,21
286402,17215,400,371,21
287408,17265,400,371,21
