elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1005,57,221,0,185,3,0
2019,80,237,0,197,3,0
3072,84,242,0,200,3,0
4120,87,262,0,213,5,0
5442,91,264,0,213,6,0
6653,93,264,0,213,6,0
8188,96,265,0,213,6,0
9862,99,265,0,213,6,0
11152,101,265,0,213,6,0
12640,104,268,0,214,6,0
13670,105,268,0,214,6,0
14797,106,268,0,214,6,0
106266,107,268,0,214,6,0
107281,169,290,0,223,9,0
108293,185,290,0,223,9,0
109515,191,290,0,223,9,0
111072,196,291,0,223,9,0
112175,198,291,0,223,9,0
113491,200,291,0,223,9,0
114771,202,291,0,223,9,0
116048,204,291,0,223,9,0
117435,209,291,0,223,9,0
118438,210,291,0,223,9,0
120343,212,291,0,223,9,0
121387,213,291,0,223,9,0
122664,214,291,0,223,9,0
206933,215,291,0,223,9,0
207938,244,291,0,223,9,0
208964,290,293,0,223,9,0
210192,300,300,0,226,9,0
211241,304,300,0,226,9,0
212332,308,300,0,226,9,0
213387,312,300,0,226,9,0
215406,315,300,0,226,9,0
216450,316,300,0,226,9,0
217581,317,300,0,226,9,0
218758,318,302,0,226,10,0
220130,319,302,0,226,10,0
221833,320,302,0,226,10,0
223596,321,304,0,226,11,0
330777,322,304,0,226,11,0
330777,322,304,0,226,11,0
