elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1000,52,197,0,174,2,0
2024,77,222,0,191,3,0
3249,91,222,0,191,3,0
4256,93,222,0,191,3,0
5430,95,222,0,191,3,0
7240,97,222,0,191,3,0
8833,100,222,0,191,3,0
10389,102,222,0,191,3,0
12480,104,222,0,191,3,0
13879,105,224,0,191,3,0
15531,106,224,0,191,3,0
17298,107,224,0,191,3,0
134216,108,224,0,191,3,0
135254,162,249,0,204,4,0
136483,181,251,0,204,4,0
137831,184,251,0,204,4,0
138978,196,251,0,204,4,0
140115,198,251,0,204,4,0
141439,200,251,0,204,4,0
142950,202,251,0,204,4,0
144125,203,251,0,204,4,0
145409,204,251,0,204,4,0
146798,205,251,0,204,4,0
147946,208,251,0,204,4,0
150278,211,251,0,204,4,0
152469,212,251,0,204,4,0
271056,213,251,0,204,4,0
272075,271,255,0,204,5,0
273131,287,256,0,204,5,0
274252,295,256,0,204,5,0
275425,306,262,0,209,5,0
276734,308,262,0,209,5,0
278406,310,262,0,209,5,0
279721,312,262,0,209,5,0
281507,314,262,0,209,5,0
283254,316,262,0,209,5,0
284278,317,264,0,209,6,0
285651,318,264,0,209,6,0
287195,319,264,0,209,6,0
421408,320,264,0,209,6,0
421408,320,264,0,209,6,0
