elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1002,73,255,243,4
2002,133,297,275,7
3004,187,337,312,12
4004,242,339,313,12
5014,296,342,315,13
6025,351,343,317,13
7051,395,356,328,15
8073,433,358,329,15
9092,473,358,329,15
10114,510,362,333,16
11141,549,362,333,16
12141,587,362,333,16
13145,626,363,334,16
14151,665,363,334,16
15175,702,363,334,16
16189,738,363,334,16
17208,774,366,337,17
18245,813,368,339,18
19266,849,369,341,18
20273,883,369,341,18
21309,922,369,341,18
22329,961,370,342,18
23344,1001,371,342,18
24353,1038,371,342,18
25380,1077,371,342,18
26384,1115,378,349,18
27412,1153,378,349,18
28424,1191,381,352,19
29442,1230,381,352,19
30463,1268,381,352,19
31485,1306,381,352,19
32543,1339,381,352,19
33579,1373,381,352,19
34580,1404,381,352,19
35588,1434,382,353,19
36622,1467,382,353,19
37657,1499,382,353,19
38672,1531,382,353,19
39685,1562,382,353,19
40697,1593,382,353,19
41737,1625,384,354,20
42752,1657,384,354,20
43776,1688,384,354,20
44787,1719,384,354,20
45813,1751,384,354,20
46834,1785,384,354,20
47841,1816,384,354,20
48848,1848,384,354,20
49885,1880,384,354,20
50894,1911,384,354,20
51899,1943,384,354,20
52931,1975,384,354,20
53951,2007,385,355,20
54984,2037,385,355,20
55985,2066,385,355,20
57019,2099,385,355,20
58048,2131,385,355,20
59084,2164,385,355,20
60110,2195,385,355,20
61131,2227,385,355,20
62143,2258,385,355,20
63166,2289,385,355,20
64198,2319,385,355,20
65218,2350,385,355,20
66234,2381,385,355,20
67255,2414,385,355,20
68275,2447,385,356,20
69307,2479,385,356,20
70325,2509,385,356,20
71342,2540,385,356,20
72363,2571,385,356,20
73401,2603,385,356,20
74427,2638,385,356,20
75430,2671,385,356,20
76445,2703,385,356,20
77449,2735,385,356,20
78474,2769,385,356,20
79507,2803,385,356,20
80527,2835,385,356,20
81540,2865,385,356,20
82542,2898,385,356,20
83542,2930,385,356,20
84561,2963,385,356,20
85572,2992,385,356,20
86590,3026,385,356,20
87623,3058,385,356,20
88638,3090,386,357,20
89667,3124,386,357,20
90682,3154,386,357,20
91724,3185,386,357,20
92737,3218,386,357,20
93760,3248,386,357,20
94774,3279,386,357,20
95800,3311,386,357,20
96807,3342,386,357,20
97817,3374,386,357,20
98839,3407,386,357,20
99839,3439,386,357,20
